dropout,noise,lr,method,batch_size,temperature,loss,val_loss,res,clusters,NMI final,ARI final,CA final,final_loss
0.9,0,0.4,leiden,200,0.07,"[131.11020040512085, 123.6564073562622, 117.84109544754028, 115.55182361602783, 113.98305463790894, 113.35919666290283, 113.08835506439209, 112.84792280197144, 112.71627235412598, 112.49555110931396, 112.20407629013062, 111.9112069606781, 111.52920293807983, 111.31407976150513, 111.75304079055786, 111.25267219543457, 111.17293357849121, 111.19209170341492, 111.45259141921997, 111.58126926422119, 111.30976676940918, 110.76590967178345, 111.25280523300171, 111.38800287246704, 110.97651624679565, 110.57900714874268, 111.02988195419312, 111.02163362503052, 111.0716643333435, 110.86280012130737]",[],1.0,14,0.6507,0.48779,0.55467,110.86280012130737
0.9,0,0.4,leiden,200,0.07,"[131.6454381942749, 125.41767644882202, 121.69561815261841, 118.74484968185425, 115.89968776702881, 114.57692956924438, 112.88873672485352, 113.34717321395874, 113.03935718536377, 112.26870679855347, 112.05340194702148, 111.93257665634155, 111.65219926834106, 111.68542337417603, 111.55485916137695, 111.22689080238342, 111.84460163116455, 111.044997215271, 111.59902095794678, 111.23615169525146, 111.24343919754028, 111.24782967567444, 111.08471918106079, 111.68186521530151, 111.23930311203003, 111.3660979270935, 111.3459038734436, 110.57251715660095, 111.51022624969482, 111.12474203109741]",[],1.0,15,0.63345,0.47025,0.49028,111.12474203109741
0.9,0,0.4,leiden,200,0.07,"[131.13737630844116, 123.3892822265625, 117.99685430526733, 115.13544464111328, 114.02160930633545, 113.06160831451416, 113.18178367614746, 113.17027044296265, 111.89002656936646, 112.43896317481995, 111.84603977203369, 111.95339679718018, 111.88234901428223, 111.61515665054321, 111.46986293792725, 111.17964315414429, 110.99455237388611, 111.05873537063599, 111.21579265594482, 111.36629748344421, 111.50661993026733, 111.12098169326782, 111.11903381347656, 110.95846128463745, 110.9686803817749, 110.82654666900635, 110.95310592651367, 110.98463344573975, 110.84540438652039, 110.87978839874268]",[],1.0,14,0.65035,0.45764,0.52915,110.87978839874268
0.9,0,0.4,leiden,200,0.07,"[132.0493655204773, 128.45148468017578, 121.64529705047607, 116.97704410552979, 114.57720041275024, 114.34655523300171, 113.27031898498535, 112.59693050384521, 112.49909257888794, 112.25068759918213, 112.4162244796753, 111.62974166870117, 112.03759527206421, 111.86943626403809, 111.66957950592041, 111.02381753921509, 111.66866278648376, 111.36845874786377, 111.48199939727783, 111.26252126693726, 111.58033752441406, 110.96498346328735, 111.38722085952759, 111.60060358047485, 111.21605849266052, 111.38223314285278, 111.11254501342773, 111.54237174987793, 111.9370059967041, 111.16584849357605]",[],1.0,15,0.63863,0.43547,0.51744,111.16584849357605
0.9,0,0.4,leiden,200,0.07,"[131.80688667297363, 125.56054019927979, 120.59931993484497, 118.22778511047363, 115.81950092315674, 114.28992938995361, 113.91922283172607, 112.69853830337524, 112.62277126312256, 112.4144697189331, 111.64666843414307, 111.48147392272949, 111.7500524520874, 111.2247405052185, 111.35542488098145, 111.82925605773926, 111.5056414604187, 111.62239599227905, 111.15428400039673, 111.50354194641113, 111.17766380310059, 111.22843551635742, 111.1158595085144, 111.20309495925903, 111.85796475410461, 111.37042713165283, 111.63532304763794, 111.76938676834106, 111.61803245544434, 111.13756513595581]",[],1.0,10,0.67375,0.54419,0.60852,111.13756513595581
0.9,0,0.4,leiden,200,0.07,"[130.32004070281982, 122.86363983154297, 119.3888578414917, 115.55173921585083, 113.95687246322632, 113.77497482299805, 113.32846593856812, 112.6471381187439, 112.78334665298462, 112.70308923721313, 111.32541227340698, 112.13372707366943, 111.56396293640137, 111.60115385055542, 111.5280818939209, 111.22930479049683, 111.18221521377563, 111.35911321640015, 111.55382919311523, 111.55820751190186, 111.39952373504639, 111.29964637756348, 111.2352614402771, 110.97267436981201, 110.17980551719666, 111.25627183914185, 111.43940496444702, 111.01596593856812, 111.17746686935425, 111.33523607254028]",[],1.0,9,0.69617,0.56812,0.67759,111.33523607254028
0.9,0,0.4,leiden,200,0.07,"[131.66999530792236, 126.73233032226562, 119.68342113494873, 116.59878253936768, 115.06437683105469, 113.53848028182983, 113.76968479156494, 112.65793037414551, 112.4666018486023, 112.54654693603516, 111.78485488891602, 111.50783061981201, 111.58683800697327, 111.16507458686829, 111.43208169937134, 111.64905834197998, 111.27359104156494, 110.93735718727112, 110.79636287689209, 110.76952886581421, 111.57131171226501, 111.4480652809143, 110.77863788604736, 111.24753093719482, 110.58900618553162, 111.0737829208374, 111.05357646942139, 111.02358102798462, 110.5373477935791, 111.85001420974731]",[],1.0,11,0.69078,0.54152,0.63358,111.85001420974731
0.9,0,0.4,leiden,200,0.07,"[131.54553127288818, 123.77933073043823, 119.33284139633179, 117.12029027938843, 114.6766996383667, 113.77717781066895, 113.61538553237915, 112.93340539932251, 112.79694318771362, 112.35099458694458, 112.95951509475708, 112.11354160308838, 111.76774454116821, 111.1720654964447, 111.49998044967651, 111.99318647384644, 111.1083014011383, 111.4261064529419, 111.48151779174805, 111.83526611328125, 111.50844717025757, 111.49766373634338, 111.60259962081909, 111.67214965820312, 111.65877056121826, 111.49891567230225, 110.8655481338501, 111.3561840057373, 111.49166989326477, 111.94758033752441]",[],1.0,11,0.68931,0.56834,0.65137,111.94758033752441
0.9,0,0.4,leiden,200,0.07,"[131.8519139289856, 127.26053524017334, 122.51389169692993, 118.55234146118164, 115.47662115097046, 114.56411552429199, 112.8663821220398, 113.27617025375366, 112.78149628639221, 112.44056701660156, 112.55565214157104, 112.07487773895264, 111.21933507919312, 111.72079944610596, 111.4745864868164, 111.82996940612793, 111.36047005653381, 111.37115001678467, 111.6465950012207, 111.01426815986633, 111.4956283569336, 111.28837275505066, 111.59242486953735, 111.65384817123413, 111.35385179519653, 111.60772705078125, 111.48922348022461, 111.15312385559082, 111.50477647781372, 111.59353613853455]",[],1.0,11,0.6722,0.54744,0.64786,111.59353613853455
0.9,0,0.4,kmeans,200,0.07,"[129.61850786209106, 121.77791976928711, 116.73139333724976, 114.4088544845581, 113.68604326248169, 113.61827039718628, 113.12961483001709, 112.85258603096008, 112.6901159286499, 112.23585033416748, 111.76159191131592, 111.6672797203064, 111.59693908691406, 110.60819625854492, 111.03762578964233, 110.89816570281982, 111.45511436462402, 110.80472350120544, 111.05507469177246, 111.44829320907593, 110.6939206123352, 110.9842677116394, 111.05669593811035, 110.83582782745361, 111.64532136917114, 111.38437509536743, 111.46942472457886, 110.65613174438477, 111.19760751724243, 111.02070045471191]",[],auto,8,0.71618,0.69906,0.75228,111.02070045471191
0.9,0,0.4,kmeans,200,0.07,"[131.19783449172974, 124.84294891357422, 119.01232528686523, 115.66089200973511, 114.05675172805786, 113.88150548934937, 113.19038915634155, 112.72029876708984, 112.00840044021606, 111.76764059066772, 112.59102249145508, 111.47150897979736, 111.3482756614685, 111.47231149673462, 111.03197860717773, 111.6594729423523, 110.96061658859253, 111.18564987182617, 111.08984565734863, 110.8391215801239, 111.07522678375244, 111.13303565979004, 111.66534996032715, 111.6787371635437, 111.2065200805664, 110.88129234313965, 111.60753440856934, 110.40116930007935, 111.11423778533936, 110.80885672569275]",[],auto,8,0.7269,0.67755,0.73706,110.80885672569275
0.9,0,0.4,kmeans,200,0.07,"[129.73368167877197, 122.04626417160034, 118.55830192565918, 116.20248031616211, 115.07745599746704, 113.91049337387085, 113.58634662628174, 112.8102536201477, 112.42734050750732, 112.36638164520264, 112.08237600326538, 111.45223116874695, 111.61065530776978, 112.50010013580322, 111.5877833366394, 111.60232734680176, 111.60289669036865, 111.54700517654419, 111.88221597671509, 111.08807325363159, 111.43112373352051, 111.03463506698608, 111.03744292259216, 111.74747800827026, 111.42534160614014, 111.2845196723938, 111.5337085723877, 111.4546217918396, 111.56886196136475, 111.23215913772583]",[],auto,8,0.71092,0.62899,0.71833,111.23215913772583
0.9,0,0.4,kmeans,200,0.07,"[131.2964425086975, 124.76621770858765, 118.22173976898193, 116.06132364273071, 114.58846759796143, 114.2431993484497, 113.413987159729, 112.80597519874573, 112.92663025856018, 112.40576696395874, 112.02891826629639, 111.3075704574585, 111.84062433242798, 111.8610360622406, 111.11339259147644, 111.45506572723389, 110.8871693611145, 111.36991596221924, 111.54081344604492, 112.02962589263916, 111.36458730697632, 111.49918413162231, 110.71895837783813, 111.01022481918335, 111.49662399291992, 111.42662048339844, 111.47281265258789, 111.32930040359497, 111.44140148162842, 111.06527185440063]",[],auto,8,0.72965,0.70716,0.78202,111.06527185440063
0.9,0,0.4,kmeans,200,0.07,"[128.91132497787476, 122.165198802948, 119.84671068191528, 116.21960592269897, 114.1482949256897, 113.82776212692261, 112.87688255310059, 112.16433119773865, 112.84009885787964, 112.3051872253418, 111.51995801925659, 111.97385883331299, 111.52078771591187, 111.65074586868286, 111.56772422790527, 111.11288499832153, 111.47987174987793, 110.95339488983154, 111.36247777938843, 111.16701889038086, 111.45956802368164, 111.35295248031616, 110.89030766487122, 111.07798337936401, 111.54980230331421, 111.45112895965576, 111.86429691314697, 110.96398782730103, 111.3997631072998, 111.52556896209717]",[],auto,8,0.70826,0.62251,0.71693,111.52556896209717
